product_name,discounted_price,description,User rating for the product
petrol pmw93w2 analog watch  - for men,999.0,"petrol pmw93w2 analog watch  - for men - buy petrol pmw93w2 analog watch  - for men  pmw93w2 online at rs.999 in india only at flipkart.com. stainless steel back case, round dial, water resistant, black strap, buckle clasp - great discounts, only genuine products, 30 day replacement guarantee, free shipping. cash on delivery!",8
dede's women's printed casual shirt,387.0,dede's women's printed casual shirt - buy navy blue dede's women's printed casual shirt for only rs. 1699 online in india. shop online for apparels. huge collection of branded clothes only at flipkart.com,8
"london bee multicolor checkered, printed men's boxer",749.0,"london bee multicolor checkered, printed men's boxer - buy orange london bee multicolor checkered, printed men's boxer for only rs. 1599 online in india. shop online for apparels. huge collection of branded clothes only at flipkart.com",7
g-luck gomed stone weight - 12.3 carat / 14.47 ratti silver garnet ring,6800.0,g-luck gomed stone weight - 12.3 carat / 14.47 ratti silver garnet ring - buy g-luck gomed stone weight - 12.3 carat / 14.47 ratti silver garnet ring only for rs. 6800 from flipkart.com. only genuine products. 30 day replacement guarantee. free shipping. cash on delivery!,7
shreewardhan decor beautifully designed glossy finish different size plant container set,1411.0,buy shreewardhan decor beautifully designed glossy finish different size plant container set for rs.1411 online. shreewardhan decor beautifully designed glossy finish different size plant container set at best prices with free shipping & cash on delivery. only genuine products. 30 day replacement guarantee.,7
